CommandEvent,en,uk
EventTitle1001,[Mayor],[Мер]
EventTitle1002,[Find Mole],[Знайти крота]
EventTitle1003,[Mayor],[Мер]
EventTitle1004,[Find Chef],[Знайти Шеф-кухаря]
EventTitle1005,[Scout],[Скаут]
EventTitle1006,[Don],[Дон]
EventTitle1007,[Mr. Bucktooth],[пан Зубастик]
EventTitle1008,[Mayor],[Мер]
EventTitle1009,[Mayor],[Мер]
EventTitle1010,[Chef],[Шеф-кухар]
EventTitle1011,[Sous Chef],[Соус-шеф]
EventTitle1012,[Mayor],[Мер]
EventTitle1013,[Fortune Teller],[Ворожка]
EventTitle1014,[Watch Show],[Дивитися шоу]
EventTitle1015,[Smuggler],[Контрабандист]
EventTitle1016,[Barracks],[Казарми]
EventTitle1017,[Apple Orchard],[Яблуневий сад]
EventTitle1018,[Boiler Room],[Котельня]
Evt1018_If0_Then0_Hint0,"The boiler room attendant informs you that the boiler$STR_2s now in working order, and thanks you again for your help.","Начальник котельні повідомляє, що котел$STR_2s зараз справний, і ще раз дякує за допомогу."
EventTitle1019,[Realtor],[Ріелтор]
EventTitle1020,[Barbecue],[Барбекю]
EventTitle1021,[Movie Theater],[Кінотеатр]
EventTitle1022,[Pond],[Ставок]
EventTitle1023,[Farmer's Wife],[Дружина фермера]
EventTitle1024,[Explorer],[Провідник]
EventTitle1025,[Mine],[Шахта]
EventTitle1026,[Treasure Map],[Карта скарбів]
EventTitle1027,[Treasure Map],[Карта скарбів]
EventTitle1028,[Farm],[Ферма]
EventTitle1029,[High Command],[Верховне командування]
EventTitle1030,[Communications Director],[Директор з комунікацій]
EventTitle1031,[Rally Point 1],[Точка збору 1]
EventTitle1032,[Rally Point 2],[Точка збору 2]
EventTitle1033,[Rally Point 3],[Точка збору 3]
EventTitle1034,[The Final Battle],[Остання битва]
EventTitle1035,[Mayor],[Мер]
EventTitle1036,[Canvass],[Полотно]
EventTitle1037,[Ex-Mayor],[Екс-мер]
EventTitle1038,[Ex-Mayor],[Екс-мер]
EventTitle1039,[Head Mechanic],[Головний механік]
EventTitle1040,[Recycle Junk],[Відвідайти СТО]
EventTitle1041,[Carzaar],[Карзаар]
EventTitle1042,[Camp],[Табір]
EventTitle1043,[Slave Trader],[Работорговець]
EventTitle1044,[Deliver Order],[Доставити замовлення]
EventTitle1045,[Deliver Order],[Доставити замовлення]
EventTitle1046,[Deliver Food],[Доставити їжу]
EventTitle1047,[Deliver Food],[Доставити їжу]
EventTitle1048,[Ministry of Agriculture],[Міністерство сільського господарства]
EventTitle1049,[Forestry Department],[Відділ лісового господарства]
EventTitle1050,[Watch Protest],[Дивитися протест]
EventTitle1051,[City Hall],[Ратуша]
EventTitle1052,[Casino],[Казино]
EventTitle1053,[City Hall],[Ратуша]
EventTitle1054,[Refugee Leader],[Лідер біженців]
EventTitle1055,[Mayor],[Мер]
EventTitle1056,[Town Hall],[Ратуша]
EventTitle1057,[Refugee Camp],[Табір біженців]
EventTitle1058,[City Hall],[Ратуша]
EventTitle1059,[City Hall],[Ратуша]
EventTitle1060,[Underground Facility],[Підземний заклад]
EventTitle1061,[Convenience Store],[Комбінезон]
EventTitle1062,[Field],[Поле]
EventTitle1063,[Shed],[Сарай]
EventTitle1064,[Pharmacy],[Аптека]
EventTitle1065,[Investigate],[Дослідити]
EventTitle1066,[Entrance],[Вхід]
EventTitle1067,[Backstage],[За лаштунками]
EventTitle1068,[Pierrot],[П'єро]
EventTitle1069,[Start Truck],[Завести вантажівку]
EventTitle1070,[Instructor],[Інструктор]
EventTitle1071,[Trailer Workshop],[Майстерня трейлерів]
EventTitle1072,[Talent Scout],[Розвідувач талантів]
EventTitle9491,Apartments,Квартири
EventTitle900,Camp,Табір
Evt900_If0_Then0_Hint0,"Your camp is approached by local busybodies. They tell you that this is a no-parking zone. If you want to sleep, go to the city Inn.","До вашого табору підійшли місцеві. Вам кажуть, що це заборонена для паркування зона. Якщо хочеш спати, йди до міської корчми."
EventTitle901,Rest,Відпочити
EventTitle902,Set Out,Вирушити
EventTitle903,Engine Temperature,Охолодити двигун
EventTitle904,Check Tires,Перевірити шини
EventTitle905,Collect Rainwater,Збирати дощову воду
EventTitle906,Back to City,Назад до міста
EventTitle907,Stop,Стоп
EventTitle908,Repair,Ремонт
EventTitle909,Sleep,Сон
EventTitle910,Bar,Бар
Evt910_If0_Then0_Random0_Seq0_Hint0,One of your truckers caused a ruckus in the Bar. The owner kicked you all to the curb.,Один із ваших далекобійників спричинив галас у барі. Господар вигнав вас усіх на бордюр.
EventTitle911,Store,Магазин
EventTitle912,Leave City,Покинути місто
EventTitle913,Repair Shop,СТО
Evt913_If0_Then0_Random0_Seq0_Hint0,"Upon entering the Repair Shop, one of your truckers immediately started touching things. After breaking something important-looking, the annoyed mechanic tossed you out.","Увійшовши в ремонтну майстерню, один із ваших далекобійників відразу почав чіпати речі. Зламавши щось важливе на вигляд, роздратований механік викинув вас."
EventTitle914,Library,Бібліотека
EventTitle915,City Details,Деталі міста
EventTitle916,Search,Пошук
EventTitle9161,Search City,Пошук міста
EventText9161,"If a city$STR_2s Salvage Level is greater than 0, you can search it for supplies.","Якщо рівень Захламованості міста$STR_2s більший за 0, ви можете шукати в ньому запаси."
Evt9161_Select0,[Search hastily],[Поспішно шукати]
Evt9161_Select0_If0_Else0_Hint0,Your hasty search was interrupted. You were unable to find any supplies.,Ваші поспішні пошуки перервано. Ви не змогли знайти жодних матеріалів.
Evt9161_Select1,[Search carefully],[Шукати уважно]
Evt9161_Select2,[Leave],[Залишити]
EventTitle917,Extract Fuel,Видобуток палива
EventText917,This facility's drilling equipment seems to be still operational. You might be able to extract some Fuel.,"Схоже, що бурове обладнання цього закладу все ще працює. Можливо, ви зможете видобути трохи палива."
Evt917_Select0,[Surface extraction] (33% chance of success),[Поверхневе буріння] (33% шансів на успіх)
Evt917_Select0_Random0_Seq0_Hint0,"Drill as you might, you$STR_2re unable to find any Fuel. Try again?","Як би ви не бурили, ви$STR_2не можете знайти жодного палива. Спробувати знову?"
Evt917_Select1,[Deep extraction] (75% chance of success),[Глибоке буріння] (75% шансів на успіх)
Evt917_Select1_Random0_Seq0_Hint0,"Drill as you might, you$STR_2re unable to find any Fuel. Try again?","Як би ви не бурили, ви$STR_2не можете знайти жодного палива. Спробувати знову?"
Evt917_Select2,[Leave],[Залишити]
EventTitle918,Hunt,Полювання
