ConditionEvents,en,uk
EventTitle11131,Fuel Cache 2,Сховище палива 2
EventText11131,Your map has this place marked as a Fuel cache. You might be able to find some supplies here.,"На вашій мапі це місце позначено як ""Схованка пального"". Ви можете знайти тут деякі припаси."
Evt11131_Random0_Seq0_Hint0,"Beneath a yellow rain tarp, you find a few jerrycans of Fuel.",Під жовтим брезентом від дощу ви знайдете кілька каністр з пальним.
Evt11131_Random0_Seq1_Hint0,"Beneath a yellow rain tarp, you find a few jerrycans of Fuel.",Під жовтим брезентом від дощу ви знайдете кілька каністр з пальним.
Evt11131_Random0_Seq2_Hint0,"Beneath a yellow rain tarp, you find a few jerrycans of Fuel.",Під жовтим брезентом від дощу ви знайдете кілька каністр з пальним.
EventTitle1200,Old Man - You Good?,"Старий, ти в порядку?"
EventText1200,"A run-down car sits by the side of the road. Its driver is an old man, so hunched over that you can$STR_2t make out his face. You call to ask if he$STR_2s okay, but he doesn$STR_2t respond.","На узбіччі дороги стоїть розбита $STR_2 машина. Його водій - старий чоловік, настільки згорблений, що ви$STR_2 не можете розгледіти його обличчя. Ви$STR_2 телефонуєте, щоб запитати, чи все з ним гаразд, але він не відповідає."
Evt1200_Select0,[Check on him],[Перевірити його]
Evt1200_Select1,[Come back later],[Приходьте пізніше]
EventTitle1201,Old Man - Spare Some Food,Старий - Поділися їжею
EventText1201,The old man rouses when you approach his car. $STR_1Got any food?$STR_1,"Старий $STR_1 прокидається, коли ви$STR_1 підходите до його машини. Є їжа?"
Evt1201_Select0,[Give him food],[Дайти йому їжу]
Evt1201_Select1,[Don't give him food],[Не давати йому їжу]
Evt1201_Select1_Random0_Seq0_Hint0,The old man suddenly starts chucking rocks at you. One of your crew members gets beaned.,Старий несподівано починає кидати в вас камінням. Одного з членів екіпажу закидають бобами.
Evt1201_Select1_Random0_Seq1_Hint0,"Having been denied food, the old man stops responding to you. You decide to take your leave.","Відмовившись від їжі, старий перестає реагувати на вас. Ви вирішуєте піти."
EventTitle1202,Old Man - Last Request,Старий - Останнє прохання
EventText1202,"$STR_1Thanks for the grub, young$STR_2uns.$STR_1 The old man nibbles on the food you gave him. His voice sounds strained. $STR_1You folks couriers? I$STR_2ve got a shipment of goods here I need to deliver. If you deliver it for me, I$STR_2m sure it$STR_2ll pay well. I$STR_2d do it myself but I, uh, I seem to be dying.$STR_1","$STR_1Дякую за їжу, юначе$STR_2Дідусь гризе їжу, яку ти$STR_1 йому дав. Його голос звучить напружено. Ви$STR_2$STR_1, хлопці, кур'єри? У мене тут партія товару, яку я маю доставити. Якщо ви$STR_1 доставите його для мене, я впевнений, що$STR_2 за нього добре заплатять. Я б зробив це$STR_2 сам, але, здається, я поми$STR_2раю."
Evt1202_Select0,[Help],[Допомогти]
Evt1202_Select1,[Refuse],[Відмова]
Evt1202_Select1_Hint0,This old geezer's problems aren't your problems.,Проблеми цього старого дідугана - не ваші проблеми.
EventTitle1203,Old Man - What to Do,Старий чоловік - що робити
EventText1203,"As soon as you accept his request, the old man breathes his last breath. Damn, that$STR_2s some serious dedication. What$STR_2s the plan?","Як тільки ви приймаєте$STR_2 його $STR_2 прохання, старий робить останній подих. Чорт, це серйозна самовідданість. Який план?"
Evt1203_Select0,[Fulfill his last request],[Виконайте його останнє прохання]
Evt1203_Select1,[Steal the goods],[Вкрасти товар]
Evt1203_Select1_Random0_Seq1_Hint0,Woah. This old man was carrying explosives. A lot of them.,Ого. У цього старого була вибухівка. Багато вибухівки.
EventTitle1206,Old Man - Delivering the Goods,Дідусь - Доставляє товар
EventText1206,"You bring the old man$STR_2s shipment to their intended destination, but the recipient says that you$STR_2re late, and that they$STR_2ll only pay you half your fee.","Ви$STR_2 доставили відправлення старого за $STR_2 призначенням, але одержувач каже, що ви$STR_2 запізнилися, і що вони заплатять вам лише половину вашої винагороди."
Evt1206_Select0,Better than nothing.,"Краще, ніж нічого."
Evt1206_Select1,[Try to persuade them],[Спробуйте переконати їх]
Evt1206_Select1_Random0_Seq0_Hint0,You manage to cajole the recipient into giving you your full fee.,Вам вдається вмовити одержувача віддати вам повний гонорар.
Evt1206_Select2,Then we're keeping the goods.,Тоді ми залишаємо товар собі.
EventTitle1207,Old Man - Stand and Deliver,Old Man - Stand and Deliver
EventText1207,The recipient and their buddies don't take kindly to you holding out on them. This is going to end in a fight.,"Одержувачу та його друзям не сподобається, що ви від них відхрещуєтесь. Це може закінчитися бійкою."
Evt1207_Select0,[Run away],[Тікай!]
Evt1207_Select0_Random0_Seq0_Hint0,Discretion is the better part of valor.,Розсудливість - краща частина доблесті.
Evt1207_Select0_Random0_Seq1_Hint0,They chase you down and kick your ass. They have such a good time with it that they forget to take the goods. At least it's something.,"Вони наздоганяють тебе і б'ють під зад. Вони так добре проводять час, що забувають забрати товар. Принаймні, це вже щось."
Evt1207_Select1,[Fight them],[Бийся з ними]
Evt1207_Select1_Hint0,"In this day and age, you gotta get yours.",У наш час ви повинні отримати своє.
Evt1207_Select2,[Try to defuse the situation],[Спробуйте розрядити ситуацію].
Evt1207_Select2_Hint0,They're so impressed by your gall that they agree to pay your full fee.,"Вони настільки вражені вашою зухвалістю, що погоджуються заплатити вам повний гонорар."
