CustomTaskConditionText,en,uk
Event11014TaskDes,Continue the main story by advancing one of the story branches.,"Продовжуйте основну історію, розвиваючи одну з сюжетних гілок."
Event11111TaskDes,Find Old Man Wong's son in New Taranis.,Знайдіть сина старого Вонга в Новому Таранісі.
Event11112TaskDes,"This probably isn't the last you've seen of the ""president""...","Можливо, це не останній раз, коли ви бачите ""президента""..."
Event11117TaskDes,"Search for pre-Fall weapons in the ruins, then return to New Taranis.","Пошукайте в руїнах зброю часів до нашої ери, а потім поверніться до Нового Тараніса."
Event11125TaskDes,Head to City Hall and meet with the mayor of New Taranis.,Прямуйте до мерії та зустріньтеся з мером Нового Тараніса.
Event11126TaskDes,Leave the headquarters for now. Perhaps you'll find more leads elsewhere in the Dustlands...,"Поки що залиште штаб-квартиру. Можливо, ви знайдете більше зачіпок деінде в Пустирях..."
Event12031TaskDes,"Check all waystations, then report back to the old farmer.","Перевірте всі станції, а потім доповісте старому фермеру."
Event12060TaskDes,"Find the girl's father, then return to her for payment.","Знайдіть батька дівчинки, а потім поверніться до неї за оплатою."
Event12079TaskDes,"Slay the infected in slope two, or...","Вбийте інфікованих на другому схилі, або..."
Event12094TaskDes,"Search for oxygen tanks in the mushroom forest and the old pit mine, then return to the skyscraper.","Шукайте кисневі балони в грибному лісі та старій шахті, а потім повертайтеся до хмарочоса."
Event14007TaskDes,Visit the Road Construction Bureau to build a route to Elysium.,"Відвідайте Бюро дорожнього будівництва, щоб побудувати маршрут до Елізіуму."
Event14044TaskDes,"Solve Ratzplatz's rat problem. If you can't handle it yourself, you might be able to find someone who can in another city...","Вирішіть проблему зі щурами на Рацплатц. Якщо ви не можете впоратися самі, можливо, ви зможете знайти когось, хто зможе в іншому місті..."
Event14098TaskDes,Visit Shrimpheaven in the north and New Pork City in the south.,Відвідайте Креветочний рай на півночі та Нью-Порк-Сіті на півдні.
Event14118TaskDes,Let's allow this guy to get settled first...,Давайте спочатку дамо цьому хлопцеві освоїтися...
Event15078TaskDes,"Gather the required materials, then bring them to the mechanic.","Зберіть необхідні матеріали, а потім принесіть їх механіку."
Event15082TaskDes,Find a way to heal the cat.,Знайдіть спосіб вилікувати кота.
Event15085TaskDes,"Bring the bassist his bass, or...","Принесіть басисту його бас, або..."
Event15094TaskDes,"Tell the bassist the ""sad news""...","Повідомте басисту ""сумні новини""..."
Event15226TaskDes,"After repairing the road, return to Verdanton to discuss next steps.","Після ремонту дороги поверніться до Вердантона, щоб обговорити наступні кроки."
Event15236TaskDes,"Once you have enough scrap, you can repair the Puppet by setting up camp (the Puppet must be in your crew).","Коли у вас буде достатньо брухту, ви зможете відремонтувати Ляльку, розбивши табір (Лялька повинна бути у вашій команді)."
Event15238TaskDes,Tell the girl the bad news.,Повідомте дівчині погані новини.
Event15141Name0,Brighthope,Брайтхоуп.
Event15141Des0,"Welcome to Brighthope. This town was founded by pre-Fall survivors, who insist on referring to it as a 'harbor' despite its location underground. Though a little eccentric, they're still fine people—maybe you could even join them?","Ласкаво просимо до Брайтхоупа. Це місто було засноване тими, хто вижив до падіння, і вони наполягають на тому, щоб називати його ""гаванню"", незважаючи на те, що воно знаходиться під землею. Хоч і трохи ексцентричні, але все ж чудові люди - можливо, ви могли б до них приєднатися?"
Event15141Name1,Horizon Harbor,Горизонт Гавань
Event15141Des1,"Welcome to Horizon Harbor. This town was founded by pre-Fall survivors, who insist on referring to it as a 'harbor' despite its location underground. Though a little eccentric, they're still fine people—maybe you could even join them?","Ласкаво просимо до Горизонт Гавані. Це місто було засноване тими, хто вижив до падіння, і вони наполягають на тому, щоб називати його ""гаванню"", незважаючи на те, що воно знаходиться під землею. Хоч і трохи ексцентричні, вони все одно чудові люди - можливо, ви навіть могли б до них приєднатися?"
Event15141Name2,Mare Nostrum,Mare Nostrum
Event15141Des2,"Welcome to Mare Nostrum. This town was founded by pre-Fall survivors, who insist on referring to it as a 'harbor' despite its location underground. Though a little eccentric, they're still fine people—maybe you could even join them?","Ласкаво просимо до Маре Нострум. Це місто було засноване тими, хто вижив до падіння, і вони наполягають на тому, щоб називати його ""гаванню"", незважаючи на те, що воно розташоване під землею. Хоч і трохи ексцентричні, але все ж чудові люди - можливо, ви навіть могли б до них приєднатися?"
