Localization,en,uk
BarginWindow_Dislike,Dislike\n(-50%),Не подобається\n(-50%)
BarginWindowItem_Choose,Select,Вибрати
BarWindow_Bar,Bar,Бар
BarWindow_CallBusinessman,Call Brokers,Виклик брокерів
BarWindow_collectIntelligence,Gather Intel,Розвідка
BarWindow_Drink,Drink,Пити
BarWindow_LabourMarket,Labor Market,Ринок праці
BarWindow_LeaveMateInBar,Leave in Bar,Залишити в Барі
BarWindow_SellCreditPoint,Sell Creds,Продати Кредити
BarWindow_Toilet,Bathroom,Ванна кімната
BarWindow_Close,Bar Close,Бар Закрити
BarWindowScript_AllDrunk,Your whole crew is drunk. The bartender has cut you off.,Весь ваш екіпаж п'яний. Бармен вивів вас.
BarWindowScript_AllSoberUp,Crew,Екіпаж
BarWindowScript_AwfulMakeLove,That was the most unedifying experience of {0}'s life. They never want to see that person or this city again.\n(Stress slightly reduced.),Це був найбільш неповторний досвід у житті {0}. Вони більше ніколи не хочуть бачити цю людину чи це місто.\n(Стрес трохи зменшився.)
BarWindowScript_AwfulMakeLove2,some utterly perfunctory lovemaking,якісь абсолютно поверхневі заняття любов’ю
BarWindowScript_BalckMail,Shake Down,Трусанути
BarWindowScript_BountyHunter,Bounty Hunter,Мисливець за головами
BarWindowScript_BuyIntelligenceOfBuntyTask,Spend 100 Scrap for information on a bounty?,Витратити 100 Брухту на інформацію про винагороду?
BarWindowScript_CallBack,Recall,Передзвонити
BarWindowScript_CallBusinessman,Call,Дзвінок
BarWindowScript_CallBusinessmanText,"Spend {0} Clout to bring people to this city? The higher your Prosperity, the more people you can call.","Витратити {0} Впливу, щоб залучити людей у ​​це місто? Чим вище ваше процвітання, тим більшій кількості людей ви можете подзвонити."
BarWindowScript_CantExtort,Only Civitas members can shake down people in Civitas-controlled cities.,"Лише члени Цивітас можуть подолати людей у ​​містах, які контролюються Цивітас."
BarWindowScript_CantHireHim,Cannot hire this person.,Не можна найняти цю людину.
BarWindowScript_CarFull,Your truck is full.,Ваша вантажівка повна.
BarWindowScript_CatchUp,[Chat],[чат]
BarWindowScript_ChamberMember,Broker,Брокер
BarWindowScript_ComeOn,Let's Go,Йдемо
BarWindowScript_Consignor,Contractor,Підрядник
BarWindowScript_DriverLeave,"If you leave, who's gonna drive?","Якщо ви підете, хто буде водити?"
BarWindowScript_ExpressDeliveryReceipt,Delivery,Доставка
BarWindowScript_FailTease,"{0}'s Charm is too low. Their flirting failed, their Stress increased, and everyone left thinking worse of each other.","Чарівність {0} надто низька. Їхній флірт не вдався, їхній Стрес зріс, і всі розійшлися, думаючи один про одного гірше."
BarWindowScript_FantasticMakeLove,"That was utterly mind-blowing. {0} feels on top of the world. They'll never forget this city, or the person they shared a magical time with. (Stress greatly reduced.)","Це було просто карколомно. {0} відчуває себе на вершині світу. Вони ніколи не забудуть ні це місто, ні людину, з якою провели чарівний час. (Стрес значно зменшується.)"
BarWindowScript_FeelBetter,{0} feels much better.,{0} почувається набагато краще.
BarWindowScript_FindPositionOfBountyTask,You've received a bounty location. You'll need to track them down quick before they escape.,"Ви отримали локацію цілі. Вам потрібно швидко їх вистежити, перш ніж вони втечуть."
BarWindowScript_GoodMakeLove,a night of unforgettable passion,ніч незабутньої пристрасті
