LocalizedMap,en,uk
MapName_0,Tutorial Map,Карта підручника
MapName_11,Haggard Plains,Рівнини Хаггард
MapName_12,Twilight Valley,Сутінкова долина
MapName_88,Underground,Під землею
MapName_99,Surface,Поверхня
CityName_0_3,Driving School,Автошкола
CityName_0_91,Muchagua,Мучагуа
CityName_0_92,Tireton,Тіретон
CityName_11_1,Dead End Fuel Depot #1,Тупикова паливна база №1
CityName_11_2,Dead End Fuel Depot #2,Тупикова паливна база №2
CityName_11_3,Fuel Depot #0,Паливобаза №0
CityName_11_4,FineTouch Factory,Фабрика FineTouch
CityName_11_5,PureGlade Factory,Фабрика PureGlade
CityName_11_6,BeautyFull Factory,BeautyFull Factory
CityName_11_7,Stable Tables Factory,Фабрика стабільних столів
CityName_11_8,Globestone Factory,"Завод ""Глобустон""."
CityName_11_9,Damm Fein Factory,Фабрика Дамм Фейн
CityName_11_10,Day-n-Night Factory,Фабрика День-Ніч
CityName_11_11,Sandy Beak Industrial Complex,Індустріальний комплекс «Сенді Бік».
CityName_11_12,Mudpile Bay Industrial Complex,Промисловий комплекс Mudpile Bay
CityName_11_13,Delta Industrial Complex,Промисловий комплекс «Дельта».
CityName_11_14,Sandstone Plains Industrial Complex,Промисловий комплекс Sandstone Plains
CityName_11_15,Thorntree,Thorntree
CityName_11_16,Hill Hollow,Hill Hollow
CityName_11_17,Borderville,Бордервіль
CityName_11_18,Camellia Fields,Камелія Філдс
CityName_11_19,Rower's Rest,Відпочинок весляра
CityName_11_20,Stonelake,Стоунлейк
CityName_11_21,Necropolis,Некрополь
CityName_11_22,Ike's Gas Station,Заправка Айка
CityName_11_23,End-o'-the-Road Gas Station,Заправка в кінці дороги
CityName_11_24,Riverlands Gas Station,АЗС Riverlands
CityName_11_25,Main Street Gas Station,Заправка на головній вулиці
CityName_11_26,Valley Gas Station,АЗС Valley
CityName_11_27,Angie's Gas Station,Заправка Енджі
CityName_11_28,Sugar Yard Gas Station,АЗС Sugar Yard
CityName_11_29,Mulberry Creek Gas Station,АЗС Mulberry Creek
CityName_11_30,Long Highway Gas Station,АЗС Довге шосе
CityName_11_31,Wetland Gas Station,Заправка Wetland
CityName_11_32,Fountainhead Gas Station,АЗС Fountainhead
CityName_11_33,Long Watch Farm,Довга сторожова ферма
CityName_11_34,Lucky Charm Farm,Ферма Lucky Charm
CityName_11_35,Jade Pond Farm,Ферма Джейд Понд
CityName_11_36,Goodson Farm,Ферма Гудсон
CityName_11_37,Happy Harvest Farm,Ферма щасливого врожаю
CityName_11_38,Pear Tree Farm,Ферма Pear Tree
CityName_11_39,Bumper Bounty Farm,Бампер Баунті Ферма
CityName_11_40,Cloudy Haven Farm,Ферма Cloudy Haven
CityName_11_41,Happy Homestead Farm,Весела Садиба Ферма
CityName_11_42,Foothills Farm,Хутір Підгір’я
CityName_11_43,Oxbow Farm,Ферма Оксбоу
CityName_11_44,Oasis Farm,Ферма Оазис
CityName_11_45,Military Depot #72,Військовий склад №72
CityName_11_46,Military Depot #55,Військовий склад №55
CityName_11_47,Military Depot #68,Військовий склад №68
CityName_11_48,Sharpstone Military Base,Військова база Шарпстоун
CityName_11_49,Muddy Flats Military Base,Військова база Muddy Flats
CityName_11_50,Sword Point Military Base,Військова база Sword Point
CityName_11_51,River Plains Military Base,Військова база Рівер-Плейнс
CityName_11_52,Shady Bend Military Base,Військова база Шаді Бенд
CityName_11_53,Bucktooth Gas Station,Заправка Bucktooth
CityName_11_54,Bucktooth Farm,Хутір Бакзуб
CityName_11_55,New Moon,Молодик
CityName_11_56,Middling Mountain Rest Stop,Середньогірська зупинка відпочинку
CityName_11_57,True Blue Rest Stop,True Blue Rest Stop
CityName_11_58,Dusty Ridge Rest Stop,Зупинка відпочинку Dusty Ridge
CityName_11_59,Swampy Glades Rest Stop,Зупинка відпочинку «Болотисті поляни».
CityName_11_60,Final Frontier Rest Stop,Остання прикордонна зупинка
CityName_11_61,Metropol,Метрополь
CityName_11_62,Taranis,Тараніс
CityName_11_63,Valleyville,Valleyville
CityName_11_64,Civitas,Сівітас
CityName_11_65,Civitas Lookout,Civitas Lookout
CityName_11_66,Industry City,Промислове місто
CityName_11_67,Southern Lookout,Південний оглядовий майданчик
CityName_11_68,Foothills Lookout,Оглядовий майданчик передгір’я
CityName_11_69,Far-Flung Lookout,Далекий оглядовий майданчик
CityName_11_70,Northern Lookout,Північний оглядовий майданчик
CityName_11_71,Wraith Valley Gas Station,АЗС Wraith Valley
CityName_11_72,Far West Gas Station,Заправка Far West
CityName_11_73,Land's End Gas Station,АЗС Land's End
CityName_11_74,Foothills Gas Station,Заправка Підгір'я
CityName_11_75,Central Gas Station,Центральна АЗС
CityName_11_76,Great Oilwell,Велика нафтова свердловина
CityName_11_77,Faraway Gas Station,Далека АЗС
CityName_11_78,Gas Station #66,АЗС №66
CityName_11_79,Clunkertown,Clunkertown
CityName_11_80,Hope Gas Station,АЗС «Надія».
CityName_11_81,Wise Women Gas Station,Wise Women Gas Station
CityName_11_82,Lamplight Gas Station,АЗС Lamplight
CityName_11_83,Western Gas Station,Західна АЗС
CityName_11_84,Swamp Gas Station,Болотна АЗС
CityName_11_85,Amber Manor,Янтарна садиба
CityName_11_86,Mountain Pass Gas Station,АЗС Mountain Pass
CityName_11_87,Appleton,Appleton
CityName_11_88,Venturosa,Вентуроза
CityName_11_89,Holy Wood,Святий ліс
CityName_11_90,Blue Tide Manor,Садиба Blue Tide
CityName_11_91,Hope Hills,Хоуп Хіллз
CityName_11_92,High Command,Верховне командування
CityName_11_93,Mountain Way,Гірський шлях
CityName_11_94,Oreville,Оревіль
CityName_11_95,Moss Pond,Моховий ставок
CityName_11_96,Carp Grove,Короповий гай
CityName_11_97,Prophets Lodge,Ложа Пророків
CityName_11_98,Iron Bucket,Залізне відро
CityName_11_99,Oasis City,Оазис Сіті
CityName_11_100,Green Grove,Зелений гай
CityName_11_101,Sanctuary,Святилище
CityName_11_102,BD City,BD City
CityName_11_103,SM City,С. М. Місто
CityName_11_104,El Tufo Landfill,Полігон Ель-Туфо
CityName_11_105,Ramshackle Landfill,Полігон ТПВ
CityName_11_106,Flyblown Landfill,Звалище мух
CityName_11_107,Riverside Landfill,Прирічковий полігон
CityName_11_108,Shriveled Tree Landfill,Сміттєзвалище зморщених дерев
CityName_11_109,Junkpile Landfill,Сміттєзвалище
CityName_11_110,La Mosca Landfill,Полігон Ла-Моска
CityName_11_111,Grease Pit Landfill,Сміттєвий полігон
CityName_11_112,Maggot End Landfill,Звалище Личинка
CityName_11_113,Garbage Gulch Landfill,Сміттєвий полігон
CityName_11_114,Rot Spot Landfill,Сміттєзвалище Rot Spot
CityName_11_115,Starlight City,Зоряне місто
CityName_11_116,Dustland Mutual (Wraith Mountain Branch),Dustland Mutual (Wraith Mountain Branch)
CityName_11_117,Steelton,Стілтон
CityName_11_118,Road Construction Bureau (Peacock Mountains Branch),Дорожньо-будівельне бюро (філія Peacock Mountains)
CityName_11_119,Fish Head Landfill,Полігон «Риб'яча голова».
CityName_11_120,Big Stink Landfill,Великий смердючий полігон
CityName_11_121,River Runoff Landfill,Полігон річкового стоку
CityName_11_122,El Podrido Landfill,Полігон Ель Подрідо
CityName_11_123,Dirt Mound Landfill,Сміттєзвалище Грунтовий курган
CityName_11_124,Big Spill Landfill,Велике сміттєзвалище
CityName_11_125,Nothin' Special Landfill,Нічого особливого
CityName_11_126,Muddle Patch Landfill,Звалище Muddle Patch
CityName_11_127,Dry Gulch Landfill,Полігон Сухий Яр
CityName_11_128,Burnout Landfill,Burnout Poligon
CityName_11_129,Old Riverbed Landfill,Полігон Старе русло
CityName_11_130,Mountain Bottom Landfill,Полігон гірського дна
CityName_11_131,Quicksand Fields Landfill,Сміттєзвалище «Поля зибучих пісків».
CityName_11_132,Cobweb Cove Landfill,Полігон Cobweb Cove
CityName_11_133,Rubble Patch Landfill,Щебеневий полігон
CityName_11_134,Wannahurl Landfill,Полігон Wannahurl
CityName_11_135,Montemuerte,Монтемуерте
CityName_11_136,Reedville,Рідвіль
CityName_11_137,Wheatstalk,Пшеничне стебло
CityName_11_138,Crudetown,Крудтаун
CityName_11_139,Little Lake Gas Station,Заправка Little Lake
CityName_11_140,Rosy Cloud Gas Station,АЗС Rosy Cloud
CityName_11_141,Daybreak City,Світанок міста
CityName_11_142,Road Construction Bureau HQ,Штаб дорожньо-будівельного бюро
CityName_11_143,Road Construction Bureau (Southwest Branch),Дорожньо-будівельне бюро (Південно-Західне відділення)
CityName_11_144,Road Construction Bureau (Cloudy River Branch),Дорожньо-будівельне бюро (філія «Хмарна річка»)
CityName_11_145,Road Construction Bureau (Mount Highspring Branch),Дорожньо-будівельне бюро (Mount Highspring Branch)
CityName_11_146,Road Construction Bureau (Autumn Mountains Branch),Дорожньо-будівельне бюро (філія «Осінні гори»)
CityName_11_147,Dustland Mutual (Little Split Mountains Branch),Dustland Mutual (Little Split Mountains Branch)
CityName_11_148,Dustland Mutual (Far Cloud Branch),Dustland Mutual (Far Cloud Branch)
CityName_12_1,Biochem Military Depot,Військовий склад Біохім
CityName_12_2,Atomic Military Depot,Атомний військовий склад
CityName_12_3,Red Ant Fuel Depot,Паливний склад Red Ant
CityName_12_4,Resting Deer Military Base,Військова база «Відпочиваючий олень».
CityName_12_5,Eagle Strike Military Base,Військова база Eagle Strike
CityName_12_6,Forward March Military Base,Військова база Передній Марш
