LocalizedTable,en,uk
@/TagText_Grain_Name,Cereal,Злакові
@/TagText_Fruit_Name,Fruit,Фрукти
@/TagText_Vegetable_Name,Vegetables,Овочі
@/TagText_AdvancedSweets_Name,Advanced Sweetener,Удосконалений підсолоджувач
@/TagText_Meat_Name,Meat,М'ясо
@/TagText_Egg_Name,Egg,Яйця
@/TagText_Milk_Name,Dairy,Молочні
@/TagText_BaseSweets_Name,Ordinary Sweetener,Звичайний підсолоджувач
@/TagText_BaseSalt_Name,Ordinary Seasoning,Звичайна приправа
@/TagText_Wine_Name,Alcohol,Алкоголь
@/TagText_AdvancedSalt_Name,Advanced Seasoning,Удосконалена приправа
@/TagText_RiverDelicacies_Name,Seafood,Морепродукти
@/TagText_Game_Name,Game,Гра
@/TagText_Mushroom_Name,Mushroom,Гриби
@/TagText_HumanMeat_Name,Human Flesh,Людська плоть
@/TagText_Insects_Name,Insect,Комаха
@/TagText_BGame_Name,Land Game,Земля гра
@/TagText_BRiver_Name,Rare Seafood,Рідкісні морепродукти
@/TagText_UGRiver_Name,Cave Seafood,Печерні морепродукти
@/TagText_UGGame_Name,Cave Game,Гра «Печера».
@/TagText_BMushroom_Name,Rare Mushroom,Рідкісний гриб
@/TagText_Prawn_Name,Prawn,креветка
@/TagText_River_Name,Regular Seafood,Звичайні морепродукти
@/TagText_BushMeat_Name,Game,Гра
@People_0_PeopleName,Courier,Кур'єр
@People_1_PeopleName,Driver,Водій
@People_2_PeopleName,Mason,Каменяр
@People_3_PeopleName,Clerk,Клерк
@People_4_PeopleName,Bodyguard,Охоронець
@People_5_PeopleName,Repairman,Ремонтник
@People_6_PeopleName,Goon,Гун
@People_7_PeopleName,Food Runner,Кур'єр їжі
@People_8_PeopleName,Pilot,Пілот
@People_9_PeopleName,Decorator,Декоратор
@People_10_PeopleName,Scholar,Вчений
@People_11_PeopleName,Veteran,Ветеран
@People_12_PeopleName,Electrician,Електрик
@People_13_PeopleName,Sentry,Сторожовий
@People_14_PeopleName,Attendant,Асистент
@People_15_PeopleName,Technician,Технік
@People_16_PeopleName,Thief,Злодій
@People_17_PeopleName,Intellectual,Інтелектуал
@People_18_PeopleName,Hired Gun,Наймана Пушка
@People_19_PeopleName,Machinist,Машиніст
@People_20_PeopleName,Security,Безпека
@People_21_PeopleName,Salesperson,Продавець
@People_22_PeopleName,Peddler,Торгаш
@People_23_PeopleName,Artist,Художник
@People_24_PeopleName,Girl,Дівчина
@People_25_PeopleName,Enigma,Енігма
@People_26_PeopleName,Archeologist,Археолог
@People_27_PeopleName,Vestal,Чистокровна
@People_28_PeopleName,Hitman,Хітмен
@People_29_PeopleName,Bandit,Бандит
@People_30_PeopleName,Huckster,Барига
@People_31_PeopleName,Scavenger,Сміттяр
@People_32_PeopleName,Negotiator,Переговорник
@People_33_PeopleName,Ninja,Ніндзя
@People_34_PeopleName,Mechanic,Механік
@People_35_PeopleName,Tin Can,Консервна банка
@People_36_PeopleName,Warhorse,Закалений боець
@People_37_PeopleName,Shock Troop,Ударний загін
@People_38_PeopleName,Marksman,Стрілець
@People_39_PeopleName,Hunter,Мисливець
@People_40_PeopleName,Gardener,Садівник
@People_41_PeopleName,Woodsman,Лісник
@People_42_PeopleName,Blacksmith,Коваль
@People_43_PeopleName,Chemist,Хімік
@People_44_PeopleName,Martial Artist,Артист бойових мистецтв
@People_45_PeopleName,Mobster,Мафіозі
@People_46_PeopleName,Programmer,Програміст
@People_47_PeopleName,Aviator,Авіатор
@People_48_PeopleName,Mystic,Містик
@People_49_PeopleName,Fortune Teller,Ворожка
@People_50_PeopleName,Priest,Священик
@People_51_PeopleName,Murderer,Вбивця
@People_52_PeopleName,Avenger,Месник
@People_53_PeopleName,Shaman,Шаман
@People_54_PeopleName,Cosplayer,Косплеєр
@People_55_PeopleName,Thug,Головоріз
@People_56_PeopleName,Gladiator,Гладіатор
@People_57_PeopleName,Acrobat,Акробат
@People_58_PeopleName,Fugitive,Втікач
@People_59_PeopleName,Animal Handler,Дресирувач
@People_60_PeopleName,Clown,Клоун
@People_61_PeopleName,Runner,Бігун
@People_62_PeopleName,Merchant,Торговець
@People_63_PeopleName,Merc,Найманець
@People_64_PeopleName,Bard,Бард
@People_65_PeopleName,Adventurer,Авантюрист
@People_66_PeopleName,Sharpshooter,Снайпер
@People_67_PeopleName,Slave,Раб
@People_68_PeopleName,Prisoner,В'язень
@People_69_PeopleName,Test Subject,Піддослідний
@People_70_PeopleName,Femme Fatale,Фатальна Жінка
@People_71_PeopleName,Singer,Співак
@People_72_PeopleName,Instructor,Інструктор
@People_73_PeopleName,Bartender,Бармен
@People_74_PeopleName,Explorer,Дослідник
@People_75_PeopleName,Photographer,Фотограф
@People_76_PeopleName,Veterinarian,Ветеринар
@People_77_PeopleName,Warrior,Воїн
@People_78_PeopleName,Dancer,Танцівник
@People_79_PeopleName,Firefighter,Пожежник
@People_80_PeopleName,Detective,Детектив
@People_81_PeopleName,Android,Андроїд
@People_82_PeopleName,Mutant,Мутант
@People_83_PeopleName,Combat Unit,Бойова одиниця
